Beleidsdomein;Thema;Subthema;Verstrekker;KBO-nr;Vestiging;Naam subsidieontvanger;Postcode;Gemeente;Land;Jaar;Toegekend (EUR);Betaald (EUR)
Werk, Economie, Wetenschap, Innovatie, Landbouw en Sociale Economie;Groei-ondersteuning kmo's en groeibedrijven;Kmo-groeisubsidie: steun voor groeitrajecten bij kmo's;Fonds voor Innoveren en Ondernemen;1001634371;;BRAVEBITES;8340;DAMME;België;2025;20,500;0
Mobiliteit en Openbare Werken;Verkeersbeleid;Subsidies ecologisch en veilig transport (stopgezet);Departement Mobiliteit en Openbare Werken;0436965006;;GEERT DE LEYN;8340;DAMME;België;2023;1,500;1,500
Mobiliteit en Openbare Werken;Verkeersbeleid;Subsidies ecologisch en veilig transport (stopgezet);Departement Mobiliteit en Openbare Werken;0465200023;;P.M.B.;8340;DAMME;België;2022;3,000;3,000
Mobiliteit en Openbare Werken;Verkeersbeleid;Subsidies ecologisch en veilig transport (stopgezet);Departement Mobiliteit en Openbare Werken;0746470131;;BONNE RENTAL;8340;DAMME;België;2023;1,500;1,500
Mobiliteit en Openbare Werken;Verkeersbeleid;Subsidies ecologisch en veilig transport (stopgezet);Departement Mobiliteit en Openbare Werken;0817818381;;M & M TRANS;8340;DAMME;België;2022;3,000;3,000
Mobiliteit en Openbare Werken;Verkeersbeleid;Subsidies ecologisch en veilig transport (stopgezet);Departement Mobiliteit en Openbare Werken;0892439095;;2 B TRANS;8340;DAMME;België;2023;6,000;6,000
Mobiliteit en Openbare Werken;Verkeersbeleid;Subsidies ecologisch en veilig transport (stopgezet);Departement Mobiliteit en Openbare Werken;0699790662;;SEFLO;8340;DAMME;België;2023;2,890;2,890
Omgeving;Aanbodzijde woningmarkt;Compensatie minderinkomsten van gemeenten voor bijstelling OV;Wonen in Vlaanderen;0207528134;;STAD DAMME;8340;DAMME;België;2022;418;418
Omgeving;Aanbodzijde woningmarkt;Compensatie minderinkomsten van gemeenten voor bijstelling OV;Wonen in Vlaanderen;0207528134;;STAD DAMME;8340;DAMME;België;2023;429;429
Omgeving;Aanbodzijde woningmarkt;Compensatie minderinkomsten van gemeenten voor bijstelling OV;Wonen in Vlaanderen;0207528134;;STAD DAMME;8340;DAMME;België;2024;466;466
